"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.48941454834953,0.393559870637051,-8.01690704557752,8.37986924668979e-13,1.33273440499354e-08,17.9749521698813,"5475"
-1.34738461388242,1.62396046632055,-7.7037152876802,4.34569598139127e-12,3.45569744440234e-08,16.9248317637407,"103344926"
-1.41032722787578,1.96687022551452,-7.52020532276858,1.1295147985147e-11,4.74211251619717e-08,16.0970523013027,"116"
-1.64157001656394,1.01817382039742,-7.50970787609407,1.19268423445603e-11,4.74211251619717e-08,15.8361241833361,"100506527"
-0.528477938469336,4.78046032253731,-7.09145076191494,1.02076286676548e-10,3.24684252660764e-07,14.0955574736877,"5686"
-1.3135305641065,0.159033578229216,-6.98873273404384,1.71769626424947e-10,4.36682371045959e-07,13.0383139111505,"8988"
-1.31605901496256,2.83868305285727,-6.96647505772565,1.92201747819524e-10,4.36682371045959e-07,13.4767822665006,"25859"
-1.31279772827442,0.839226578050906,-6.81279788764262,4.16016525444386e-10,8.27040852583438e-07,12.4858981039931,"123624"
-0.487531607017283,2.80985222412023,-6.77186555294313,5.1042359419891e-10,9.01975204682163e-07,12.5371467006222,"441531"
-1.4662048108396,1.61618284492256,-6.70606902193819,7.08349864802897e-10,1.12655962498253e-06,12.1554950612765,"345079"
-0.978381750419787,4.52757764523127,-6.64167323870132,9.7494240983815e-10,1.40958946236963e-06,11.9253414402692,"105374898"
1.02076657468916,5.38261321690783,6.58595028542442,1.28402104416701e-09,1.6678961040237e-06,11.6591481511771,"6539"
0.808758184315956,4.84332258344045,6.57379368726489,1.36334565847008e-09,1.6678961040237e-06,11.603333294747,"25959"
-1.13534919372884,2.79568699233088,-6.54440191330729,1.57566784807181e-09,1.69439254021398e-06,11.468892383556,"401097"
0.354630925873874,6.12764511021828,6.54153060242908,1.59808149542314e-09,1.69439254021398e-06,11.4539552669279,"9031"
-0.426218833464943,4.35370914071658,-6.50734161556137,1.89038730323715e-09,1.87904497941772e-06,11.2891946328812,"51263"
-1.18443855014837,2.67667371543772,-6.48359660602081,2.1238308059554e-09,1.98690618458322e-06,11.1830970602682,"56341"
-1.08172642214038,1.52035458031361,-6.44655274062633,2.54594992803034e-09,2.24948820307747e-06,10.9349143770492,"728798"
-0.804036347832072,2.56919981560135,-6.42855459257634,2.77990524372618e-09,2.32692699980112e-06,10.922465034916,"129804"
-0.989483769091287,1.17562080548566,-6.39745088002549,3.23519132086685e-09,2.49113782685241e-06,10.6524336134879,"9508"
0.484404869080044,4.71223364810533,6.39040779467718,3.34807942241509e-09,2.49113782685241e-06,10.739900864602,"89849"
-1.13638525495141,1.78798029745052,-6.37122217509341,3.67565902012389e-09,2.49113782685241e-06,10.6214878095276,"9177"
-0.764230789918791,2.6032665183595,-6.36662313842897,3.75876288798203e-09,2.49113782685241e-06,10.637126223842,"728730"
-1.47177491630053,0.63287506510654,-6.36659580380971,3.7592623141636e-09,2.49113782685241e-06,10.4278058282087,"91156"
-0.414984458904731,3.29164299663185,-6.35789948262724,3.92151694695461e-09,2.49471222097465e-06,10.601128180757,"83695"
-0.416458812995099,4.44983977833714,-6.32883840994061,4.51542239290372e-09,2.7620491437208e-06,10.4523048664905,"51649"
-0.516358947878202,4.63493671193358,-6.31632543887185,4.79766084312693e-09,2.8259999277441e-06,10.3930041443535,"79719"
-0.832063083171361,4.43595821235018,-6.30420331753732,5.087631679042e-09,2.88977479369585e-06,10.3383069802151,"201229"
-0.853409476902038,1.60210019105037,-6.27505950563323,5.85730119536276e-09,3.00499636094418e-06,10.1589938083245,"284424"
0.333416678421289,4.45343488276159,6.27195372596475,5.94579457666369e-09,3.00499636094418e-06,10.1912362754732,"219988"
-0.440096934681581,5.6660340110647,-6.27017731000766,5.99700080934763e-09,3.00499636094418e-06,10.1850195802568,"11261"
-0.824877331771005,2.44748644689798,-6.26327708176312,6.20005653589627e-09,3.00499636094418e-06,10.1594655667314,"100126784"
-0.925700697784587,5.37737820599883,-6.26210493121395,6.23521629220058e-09,3.00499636094418e-06,10.1482068363172,"51299"
-0.445958216303886,5.3989280399984,-6.22984416875134,7.28384337385013e-09,3.37249033396067e-06,9.99543175847158,"54902"
-0.696946278167906,7.85344579143449,-6.22265145593842,7.54032601656783e-09,3.37249033396067e-06,9.97354430712325,"5217"
-1.23630260270793,1.90680589115184,-6.22008694481994,7.63390669156086e-09,3.37249033396067e-06,9.94520267718108,"285780"
1.3527144026554,3.03749463669289,6.21054405009826,7.99228447120013e-09,3.39541701675182e-06,9.90662737838469,"140876"
-0.480319834612189,4.55114384280624,-6.2047325056048,8.21859473291062e-09,3.39541701675182e-06,9.87676860498347,"10302"
-0.434611373009304,3.39169796224705,-6.20202212467923,8.32628669852371e-09,3.39541701675182e-06,9.88162290468584,"8891"
-0.707126618610426,2.99497952278803,-6.16709442250922,9.84478866847867e-09,3.73861576276778e-06,9.72511050357503,"126272"
-0.536486706150543,3.49467718753506,-6.1666056678682,9.86786310367931e-09,3.73861576276778e-06,9.71728284379798,"51102"
0.449078338778624,5.38964546293738,6.16649479247243,9.87310500730929e-09,3.73861576276778e-06,9.69906845882172,"8243"
-0.493724530509749,5.88051885795889,-6.1563961708593,1.03622119047058e-08,3.81249817408448e-06,9.664502690813,"4711"
0.792795062102004,1.55162052497973,6.15268948504977,1.05476559142176e-08,3.81249817408448e-06,9.50093288296482,"22801"
-0.51399390739122,7.34579398822357,-6.14769103362776,1.08029062954054e-08,3.8179871493806e-06,9.63719717984424,"27069"
