"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.48941454834953,0.393559870637051,-8.01690704557752,8.37986924668979e-13,1.33273440499354e-08,17.9749521698813,"5475"
-1.34738461388242,1.62396046632055,-7.7037152876802,4.34569598139127e-12,3.45569744440234e-08,16.9248317637407,"103344926"
-1.41032722787578,1.96687022551452,-7.52020532276858,1.1295147985147e-11,4.74211251619717e-08,16.0970523013027,"116"
-1.64157001656394,1.01817382039742,-7.50970787609407,1.19268423445603e-11,4.74211251619717e-08,15.8361241833361,"100506527"
-1.3135305641065,0.159033578229216,-6.98873273404384,1.71769626424947e-10,4.36682371045959e-07,13.0383139111505,"8988"
-1.31605901496256,2.83868305285727,-6.96647505772565,1.92201747819524e-10,4.36682371045959e-07,13.4767822665006,"25859"
-1.31279772827442,0.839226578050906,-6.81279788764262,4.16016525444386e-10,8.27040852583438e-07,12.4858981039931,"123624"
-1.4662048108396,1.61618284492256,-6.70606902193819,7.08349864802897e-10,1.12655962498253e-06,12.1554950612765,"345079"
-0.978381750419787,4.52757764523127,-6.64167323870132,9.7494240983815e-10,1.40958946236963e-06,11.9253414402692,"105374898"
1.02076657468916,5.38261321690783,6.58595028542442,1.28402104416701e-09,1.6678961040237e-06,11.6591481511771,"6539"
0.808758184315956,4.84332258344045,6.57379368726489,1.36334565847008e-09,1.6678961040237e-06,11.603333294747,"25959"
-1.13534919372884,2.79568699233088,-6.54440191330729,1.57566784807181e-09,1.69439254021398e-06,11.468892383556,"401097"
-1.18443855014837,2.67667371543772,-6.48359660602081,2.1238308059554e-09,1.98690618458322e-06,11.1830970602682,"56341"
-1.08172642214038,1.52035458031361,-6.44655274062633,2.54594992803034e-09,2.24948820307747e-06,10.9349143770492,"728798"
-0.804036347832072,2.56919981560135,-6.42855459257634,2.77990524372618e-09,2.32692699980112e-06,10.922465034916,"129804"
-0.989483769091287,1.17562080548566,-6.39745088002549,3.23519132086685e-09,2.49113782685241e-06,10.6524336134879,"9508"
-1.13638525495141,1.78798029745052,-6.37122217509341,3.67565902012389e-09,2.49113782685241e-06,10.6214878095276,"9177"
-0.764230789918791,2.6032665183595,-6.36662313842897,3.75876288798203e-09,2.49113782685241e-06,10.637126223842,"728730"
-1.47177491630053,0.63287506510654,-6.36659580380971,3.7592623141636e-09,2.49113782685241e-06,10.4278058282087,"91156"
-0.832063083171361,4.43595821235018,-6.30420331753732,5.087631679042e-09,2.88977479369585e-06,10.3383069802151,"201229"
-0.853409476902038,1.60210019105037,-6.27505950563323,5.85730119536276e-09,3.00499636094418e-06,10.1589938083245,"284424"
-0.824877331771005,2.44748644689798,-6.26327708176312,6.20005653589627e-09,3.00499636094418e-06,10.1594655667314,"100126784"
-0.925700697784587,5.37737820599883,-6.26210493121395,6.23521629220058e-09,3.00499636094418e-06,10.1482068363172,"51299"
-0.696946278167906,7.85344579143449,-6.22265145593842,7.54032601656783e-09,3.37249033396067e-06,9.97354430712325,"5217"
-1.23630260270793,1.90680589115184,-6.22008694481994,7.63390669156086e-09,3.37249033396067e-06,9.94520267718108,"285780"
1.3527144026554,3.03749463669289,6.21054405009826,7.99228447120013e-09,3.39541701675182e-06,9.90662737838469,"140876"
-0.707126618610426,2.99497952278803,-6.16709442250922,9.84478866847867e-09,3.73861576276778e-06,9.72511050357503,"126272"
0.792795062102004,1.55162052497973,6.15268948504977,1.05476559142176e-08,3.81249817408448e-06,9.50093288296482,"22801"
-1.35995943845629,3.07172179543199,-6.09301015953061,1.40243494240191e-08,4.13045584735188e-06,9.38542512999461,"63974"
-1.46107758035692,1.3825117057911,-6.09231727366182,1.40707043977146e-08,4.13045584735188e-06,9.33566275046759,"6863"
-0.83114064418407,1.02495661959559,-6.09199909810374,1.40920412165837e-08,4.13045584735188e-06,9.26012412953519,"157574"
-1.3506139267172,0.682468666817126,-6.07640372819269,1.51777995794177e-08,4.23487235984315e-06,9.15263332927667,"105372026"
-1.27320366344209,0.274698301842173,-6.06369308813667,1.61232212037734e-08,4.42109844870365e-06,8.98756805581057,"400591"
-1.28217535408878,2.26331607664295,-6.05348236985297,1.69244363267826e-08,4.48610392235251e-06,9.20847789583349,"793"
-1.19068919359585,2.64189786599985,-6.0375238282019,1.82557124783713e-08,4.61010676892921e-06,9.13921465074195,"90523"
-1.54140009759419,0.807433922071991,-6.03681573966106,1.83171086188347e-08,4.61010676892921e-06,9.01840117771736,"4142"
-0.863565579456181,2.86887695973136,-6.03561872204238,1.84213602225412e-08,4.61010676892921e-06,9.12987058117402,"338758"
-0.732881817995295,1.25564072203582,-6.0341310668862,1.85517375007212e-08,4.61010676892921e-06,9.0418084996298,"23594"
-1.00322215402409,1.3774556142996,-6.02602525434771,1.9278223920827e-08,4.71693651133589e-06,9.02996024441241,"100996645"
-0.856834324966308,0.958702481067757,-6.02045524604887,1.97935756658126e-08,4.76965193013764e-06,8.93485410470864,"105373230"
0.614554394739067,7.27655635673112,6.01055037779648,2.0743659656675e-08,4.7717822074688e-06,9.01389506235827,"23242"
-1.19743716427864,3.81575639922962,-6.00667280151625,2.11276867468856e-08,4.7717822074688e-06,8.98122013136648,"81849"
-0.993467032816564,0.332887922905283,-6.00225601807523,2.15736329193918e-08,4.7717822074688e-06,8.721222220646,"94160"
-0.830829919025223,1.24816013484131,-5.99545088342764,2.22788890273004e-08,4.7717822074688e-06,8.87337694094366,"101929544"
-0.699641645172932,3.21252227776393,-5.99087952993383,2.27653174168021e-08,4.7717822074688e-06,8.92420849915906,"57464"
